Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-05,99.493
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-06,99.423
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-07,99.563
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-08,99.498
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-09,99.58
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-12,99.528
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-13,99.503
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-14,99.658
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-15,99.663
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-16,99.613
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-bond-2030-ca135087s471?miRedirects=1,"1,138913105,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,1330,184&from=20260105&to=20260119",CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,2.0,3/1/2025,2/28/2030,No,2026-01-19,99.583
